1,ЧяШaВQФNНСР®Т≤НЄБ@ПђТnИжПWМvБ@БiСНЦ±П»УЭМvЛ«Бj,,,,,,,,,,,
2,Сж1Х\Б@ТjПЧХ РlМыЛyВ—РҐС—РФБ|КоЦ{ТPИ Лж,,,,,,,,,,,
3,,,,,,,,,1) БuРlМыПWТЖТnЛжХДНЖБvВЌБCБu01БvВ≈В†ВкВќРlМыПWТЖТnЛжБCБu51БvВ≈В†ВкВќПАРlМыПWТЖТnЛжВ≈В†ВйВ±В∆ВрХ\ВЈБBВ»В®БCОsЛжТђСЇУаВ…РlМыПWТЖТnЛжВвПАРlМыПWТЖТnЛжВ™Х°РФСґНЁВЈВйПкНЗВЌБCРlМыВћСеВЂВҐРlМыПWТЖТnЛжВ©ВзБC01БC02БcБiПАРlМыПWТЖТnЛжВЌ51БC52БcБjВ∆ХtЧ^ВµВƒВҐВйБB,,,
4,,,,,,,,,РlМы,РlМы,РlМы,РҐС—РФ
12109,"45203","139000010"," 912.1.  ","Л{НиМІ","ЙДЙ™Оs","ЙYПйТђ","","",76,36,40,38
12110,"45203","139000020"," 914.3.  ","Л{НиМІ","ЙДЙ™Оs","ЙYПйТђ","","",-,-,-,-
12111,"45203","139000030"," 911.1.  ","Л{НиМІ","ЙДЙ™Оs","ЙYПйТђ","","",124,61,63,56
12112,"45203","139000040"," 913.1.  ","Л{НиМІ","ЙДЙ™Оs","ЙYПйТђ","","",42,21,21,18
12113,"45203","140000010"," 475.2.  ","Л{НиМІ","ЙДЙ™Оs","И§УЖОR","","",-,-,-,-
12114,"45203","142000010","  83.1. 1","Л{НиМІ","ЙДЙ™Оs","ФЛТђ","","01",8,5,3,6
12115,"45203","142000020"," 120.1.  ","Л{НиМІ","ЙДЙ™Оs","ФЛТђ","","01",95,45,50,39
12116,"45203","142000020"," 121.1.  ","Л{НиМІ","ЙДЙ™Оs","ФЛТђ","","01",139,66,73,54
12117,"45203","142000030"," 115.1. 1","Л{НиМІ","ЙДЙ™Оs","ФЛТђ","","01",18,11,7,14
12118,"45203","142000040"," 115.1. 2","Л{НиМІ","ЙДЙ™Оs","ФЛТђ","","01",28,11,17,15
12119,"45203","142000050"," 116.1.  ","Л{НиМІ","ЙДЙ™Оs","ФЛТђ","","01",141,66,75,72
12120,"45203","142000061"," 117.1.  ","Л{НиМІ","ЙДЙ™Оs","ФЛТђ","","01",54,26,28,35
12121,"45203","142000061"," 118.1.  ","Л{НиМІ","ЙДЙ™Оs","ФЛТђ","","01",34,22,12,34
12122,"45203","142000062"," 119.4.  ","Л{НиМІ","ЙДЙ™Оs","ФЛТђ","","01",60,19,41,1
12123,"45203","143000010"," 775.1.  ","Л{НиМІ","ЙДЙ™Оs","УсГcУЗТђ","","",86,42,44,43
12124,"45203","143000020"," 776.1.  ","Л{НиМІ","ЙДЙ™Оs","УсГcУЗТђ","","",123,67,56,45
12125,"45203","177001010"," 931.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","С]ЦЎОq","",108,49,59,46
12126,"45203","177001020"," 932.1. 1","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","С]ЦЎОq","",67,30,37,23
12127,"45203","177001030"," 932.1. 2","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","С]ЦЎОq","",53,23,30,21
12128,"45203","177001040"," 932.1. 3","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","С]ЦЎОq","",19,12,7,11
12129,"45203","177001050"," 933.1. 1","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","С]ЦЎОq","",43,23,20,15
12130,"45203","177001060"," 933.1. 2","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","С]ЦЎОq","",62,31,31,27
12131,"45203","177001070"," 934.1. 1","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","С]ЦЎОq","",18,7,11,9
12132,"45203","177001080"," 934.1. 2","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","С]ЦЎОq","",38,13,25,21
12133,"45203","177002010"," 930.2.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","аЏЙzОq","",53,28,25,20
12134,"45203","177003010"," 935.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","ЦkЛvХџОRОq","",55,28,27,24
12135,"45203","177004010"," 936.1. 1","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","УмЛvХџОRОq","",25,10,15,15
12136,"45203","177004020"," 936.1. 2","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","УмЛvХџОRОq","",100,41,59,38
12137,"45203","177004030"," 942.1. 1","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","УмЛvХџОRОq","",47,21,26,17
12138,"45203","177004040"," 942.1. 2","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","УмЛvХџОRОq","",61,33,28,22
12139,"45203","177005010"," 943.1. 1","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","КpУcЙN","",61,26,35,26
12140,"45203","177005020"," 943.1. 2","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","КpУcЙN","",36,19,17,17
12141,"45203","177005030"," 943.1. 3","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","КpУcЙN","",28,10,18,12
12142,"45203","177005041"," 944.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","КpУcЙN","",194,95,99,79
12143,"45203","177005042"," 945.4.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","КpУcЙN","",31,9,22,1
12144,"45203","177005050"," 946.4.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","КpУcЙN","",94,51,43,1
12145,"45203","177006010"," 949.1. 1","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","К}ЙЇУ–","",89,41,48,26
12146,"45203","177006020"," 949.1. 2","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","К}ЙЇУ–","",51,23,28,20
12147,"45203","177006030"," 950.3.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","К}ЙЇУ–","",-,-,-,-
12148,"45203","177007010"," 925.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","РмРЕЧђЙK","",48,23,25,23
12149,"45203","177007020"," 926.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","РмРЕЧђЙK","",127,58,69,47
12150,"45203","177007030"," 937.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","РмРЕЧђЙK","",73,37,36,32
12151,"45203","177007040"," 938.4.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","РмРЕЧђЙK","",105,22,83,3
12152,"45203","177007051"," 947.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","РмРЕЧђЙK","",23,12,11,11
12153,"45203","177007052"," 948.4.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","РмРЕЧђЙK","",21,4,17,1
12154,"45203","177007060"," 927.1. 1","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","РмРЕЧђЙK","",93,46,47,40
12155,"45203","177007070"," 927.1. 2","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","РмРЕЧђЙK","",60,25,35,27
12156,"45203","177007080"," 940.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","РмРЕЧђЙK","",68,24,44,32
12157,"45203","177007090"," 941.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","РмРЕЧђЙK","",138,66,72,52
12158,"45203","177008010"," 939.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","ПгНиТC","",55,27,28,24
12159,"45203","177009010"," 928.2.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","С†УcТC","",32,16,16,16
12160,"45203","177009020"," 929.1. 1","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","С†УcТC","",102,59,43,30
12161,"45203","177009030"," 929.1. 2","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","С†УcТC","",68,33,35,27
12162,"45203","177010010"," 959.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","СБУъУnЦ§","",107,55,52,36
12163,"45203","177011010"," 958.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","СБТЖЦ§","",75,38,37,33
12164,"45203","177012010"," 957.1. 1","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","СБПгЦ§","",37,20,17,16
12165,"45203","177012020"," 957.1. 2","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","СБПгЦ§","",18,8,10,7
12166,"45203","177012030"," 960.2.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","СБПгЦ§","",2,1,1,1
12167,"45203","177013010"," 954.1. 1","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","Ф™ЛђМя","",34,17,17,14
12168,"45203","177013020"," 954.1. 2","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","Ф™ЛђМя","",27,15,12,14
12169,"45203","177014010"," 953.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","ОOГPСЇМя","",32,17,15,16
12170,"45203","177015010"," 955.1. 1","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","СкЙЇЦҐ","",20,10,10,10
12171,"45203","177016010"," 955.1. 2","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","Т≈Ф®ЦҐ","",64,31,33,33
12172,"45203","177017010"," 956.2. 1","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","УъХљЦҐ","",14,5,9,8
12173,"45203","177018010"," 956.2. 2","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","к†ХфЦҐ","",12,4,8,8
12174,"45203","177019010"," 952.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","ФьБXТnЦҐ","",73,38,35,32
12175,"45203","177020010"," 951.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","РЫМіЦҐ","",62,31,31,30
12176,"45203","177021010"," 963.1. 1","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","ЙЇО≠РмР\","",35,21,14,18
12177,"45203","177021020"," 963.1. 2","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","ЙЇО≠РмР\","",36,19,17,17
12178,"45203","177022010"," 961.2. 1","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","ПгО≠РмР\","",27,13,14,11
12179,"45203","177022020"," 961.2. 2","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","ПгО≠РмР\","",28,12,16,14
12180,"45203","177022030"," 962.2.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","ПгО≠РмР\","",-,-,-,-
12181,"45203","177023010"," 968.2.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","У°ВћЦЎУ—","",24,14,10,13
12182,"45203","177023020"," 970.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","У°ВћЦЎУ—","",80,41,39,37
12183,"45203","177024010"," 969.1. 1","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","Ф¬ЙЇЬъ","",29,15,14,13
12184,"45203","177024020"," 969.1. 2","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","Ф¬ЙЇЬъ","",31,16,15,14
12185,"45203","177025010"," 967.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","Ф¬ПгЬъ","",37,17,20,18
12186,"45203","177025020"," 964.2.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","Ф¬ПгЬъ","",-,-,-,-
12187,"45203","177026010"," 966.1. 1","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","УсМ“Ие","",44,22,22,18
12188,"45203","177026020"," 966.1. 2","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","УсМ“Ие","",44,25,19,17
12189,"45203","177026030"," 965.2.  ","Л{НиМІ","ЙДЙ™Оs","ЦkХыТђ","УсМ“Ие","",-,-,-,-
12190,"45203","178001010","1013.2.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉЙЇТЋ","",14,7,7,6
12191,"45203","178001020","1014.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉЙЇТЋ","",32,15,17,11
12192,"45203","178001030","1015.2.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉЙЇТЋ","",24,13,11,14
12193,"45203","178001040","1016.2.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉЙЇТЋ","",-,-,-,-
12194,"45203","178001050","1017.2.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉЙЇТЋ","",37,20,17,15
12195,"45203","178002010","1012.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉПЉР£","",63,33,30,24
12196,"45203","178003010","1011.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉКЛЧt","",40,17,23,21
12197,"45203","178004010","1018.2.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉР£Мы","",7,3,4,4
12198,"45203","178004020","1019.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉР£Мы","",86,45,41,35
12199,"45203","178004030","1020.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉР£Мы","",64,30,34,28
12200,"45203","178004040","1025.2.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉР£Мы","",4,2,2,4
12201,"45203","178004050","1021.2.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉР£Мы","",35,15,20,15
12202,"45203","178004060","1022.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉР£Мы","",49,27,22,23
12203,"45203","178004070","1023.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉР£Мы","",42,18,24,22
12204,"45203","178005010"," 976.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉР[Р£","",104,46,58,38
12205,"45203","178005020","1024.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉР[Р£","",168,83,85,64
12206,"45203","178005030","1026.2.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉР[Р£","",23,13,10,10
12207,"45203","178006010"," 978.1. 1","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉМFУc","",43,18,25,15
12208,"45203","178006020"," 978.1. 2","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉМFУc","",29,17,12,13
12209,"45203","178006030"," 979.1. 1","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉМFУc","",80,39,41,35
12210,"45203","178006041"," 979.1. 2","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉМFУc","",147,60,87,30
12211,"45203","178006042"," 981.4.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉМFУc","",41,13,28,1
12212,"45203","178007010"," 971.2.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉФТРќ","",-,-,-,-
12213,"45203","178007020"," 975.2.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉФТРќ","",-,-,-,-
12214,"45203","178007030"," 974.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉФТРќ","",87,45,42,36
12215,"45203","178007040"," 980.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉФТРќ","",98,25,73,48
12216,"45203","178007050"," 977.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉФТРќ","",75,33,42,34
12217,"45203","178008011"," 972.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉР[Ни","",43,17,26,23
12218,"45203","178008012"," 973.4.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉР[Ни","",76,20,56,1
12219,"45203","178009010","1009.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉФ™МЋ","",70,34,36,35
12220,"45203","178009020","1010.2.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉФ™МЋ","",-,-,-,-
12221,"45203","178010010","1008.2.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉЙЇР‘","",-,-,-,-
12222,"45203","178010020","1007.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉЙЇР‘","",26,11,15,14
12223,"45203","178010030","1006.2.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉЙЇР‘","",15,9,6,7
12224,"45203","178011010","1004.2.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉПгР‘","",24,11,13,13
12225,"45203","178011020","1005.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉПгР‘","",49,22,27,22
12226,"45203","178012010","1000.2.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉПjОqРм","",-,-,-,-
12227,"45203","178012020","1001.2.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉПjОqРм","",15,7,8,9
12228,"45203","178012030","1002.2.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉПjОqРм","",32,17,15,19
12229,"45203","178012040","1003.2.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","РмУаЦЉПjОqРм","",6,3,3,3
12230,"45203","178013010"," 986.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","ТЈИдЙ∆Уc","",92,47,45,34
12231,"45203","178013020"," 987.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","ТЈИдЙ∆Уc","",93,44,49,32
12232,"45203","178013030"," 998.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","ТЈИдЙ∆Уc","",84,41,43,30
12233,"45203","178014010"," 984.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","ТЈИдРмНв","",76,35,41,27
12234,"45203","178014020"," 985.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","ТЈИдРмНв","",101,52,49,41
12235,"45203","178014030"," 988.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","ТЈИдРмНв","",87,39,48,32
12236,"45203","178015010"," 982.2.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","ТЈИдФтРќ","",-,-,-,-
12237,"45203","178015020"," 983.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","ТЈИдФтРќ","",89,43,46,37
12238,"45203","178015030"," 989.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","ТЈИдФтРќ","",55,28,27,21
12239,"45203","178015040"," 990.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","ТЈИдФтРќ","",109,47,62,44
12240,"45203","178015050"," 991.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","ТЈИдФтРќ","",64,36,28,24
12241,"45203","178016010"," 992.1. 1","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","ТЈИдЦ{СЇ","",52,22,30,21
12242,"45203","178016021"," 992.1. 2","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","ТЈИдЦ{СЇ","",67,33,34,24
12243,"45203","178016022"," 993.4.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","ТЈИдЦ{СЇ","",82,17,65,2
12244,"45203","178016030"," 997.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","ТЈИдЦ{СЇ","",66,31,35,29
12245,"45203","178017011"," 996.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","ТЈИдХUЦм","",99,47,52,40
12246,"45203","178017012"," 999.4.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","ТЈИдХUЦм","",20,7,13,1
12247,"45203","178017020"," 995.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","ТЈИдХUЦм","",99,50,49,39
12248,"45203","178017030"," 994.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkРмТђ","ТЈИдХUЦм","",124,62,62,46
12249,"45203","179001010","1029.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","М√Н]ТnЙЇ","",69,30,39,25
12250,"45203","179001020","1028.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","М√Н]ТnЙЇ","",98,48,50,45
12251,"45203","179002010","1027.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","М√Н]ТЖЦмУа","",116,52,64,49
12252,"45203","179003010","1030.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","М√Н]ХlТЖ","",73,31,42,33
12253,"45203","179003020","1031.1. 1","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","М√Н]ХlТЖ","",68,36,32,25
12254,"45203","179003030","1031.1. 2","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","М√Н]ХlТЖ","",49,24,25,25
12255,"45203","179003040","1036.1. 1","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","М√Н]ХlТЖ","",59,28,31,26
12256,"45203","179003050","1036.1. 2","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","М√Н]ХlТЖ","",25,11,14,15
12257,"45203","179004010","1035.1. 1","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","М√Н]Ц{СЇ","",50,24,26,29
12258,"45203","179004020","1035.1. 2","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","М√Н]Ц{СЇ","",89,47,42,37
12259,"45203","179004030","1032.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","М√Н]Ц{СЇ","",54,23,31,24
12260,"45203","179004040","1034.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","М√Н]Ц{СЇ","",97,46,51,40
12261,"45203","179004051","1037.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","М√Н]Ц{СЇ","",114,63,51,47
12262,"45203","179004052","1033.4.  ","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","М√Н]Ц{СЇ","",68,9,59,2
12263,"45203","179005010","1038.1. 1","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","М√Н]ИҐСh","",71,35,36,27
12264,"45203","179005020","1039.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","М√Н]ИҐСh","",113,58,55,43
12265,"45203","179005030","1038.1. 2","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","М√Н]ИҐСh","",75,38,37,32
12266,"45203","179006010","1041.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","ОOРмУаСеИд","",116,57,59,38
12267,"45203","179007010","1042.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","ОOРмУаОsФцУа","",69,27,42,36
12268,"45203","179008010","1040.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","ОOРмУаФ~ЦЎ","",112,58,54,56
12269,"45203","179009010","1046.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","ОOРмУаЙЇТЋ","",50,27,23,23
12270,"45203","179010010","1045.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","ОOРмУаЙћОЕ","",89,37,52,38
12271,"45203","179010020","1044.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","ОOРмУаЙћОЕ","",59,32,27,31
12272,"45203","179010030","1043.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","ОOРмУаЙћОЕ","",47,20,27,22
12273,"45203","179011010","1047.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","ОsРUТЉКC","",171,91,80,53
12274,"45203","179012010","1050.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","ОsРU","",73,42,31,34
12275,"45203","179012020","1049.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","ОsРU","",78,37,41,35
12276,"45203","179012030","1051.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","ОsРU","",66,32,34,32
12277,"45203","179012040","1052.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","ОsРU","",82,46,36,36
12278,"45203","179012050","1053.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","ОsРU","",135,69,66,54
12279,"45203","179012060","1048.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","ОsРU","",106,56,50,42
12280,"45203","179012070","1054.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","ОsРU","",76,30,46,33
12281,"45203","179013010","1055.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","Л{ЦмЙY","",83,39,44,37
12282,"45203","179013020","1056.1. 1","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","Л{ЦмЙY","",44,23,21,21
12283,"45203","179013030","1056.1. 2","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","Л{ЦмЙY","",89,45,44,36
12284,"45203","179013040","1057.1. 1","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","Л{ЦмЙY","",26,16,10,17
12285,"45203","179013050","1057.1. 2","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","Л{ЦмЙY","",50,24,26,25
12286,"45203","179013060","1058.1. 1","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","Л{ЦмЙY","",52,23,29,22
12287,"45203","179013070","1058.1. 2","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","Л{ЦмЙY","",67,30,37,31
12288,"45203","179013080","1059.1.  ","Л{НиМІ","ЙДЙ™Оs","ЦkЙYТђ","Л{ЦмЙY","",29,20,9,18
12289,"45204","-","-","Л{НиМІ","УъУмОs","","","",50848,23930,26918,22071
12290,"45204","001001010"," 191.2.  ","Л{НиМІ","УъУмОs","СеОЪУнМі","ОRГmМы","",-,-,-,-
12291,"45204","001001020"," 192.1. 1","Л{НиМІ","УъУмОs","СеОЪУнМі","ОRГmМы","",71,33,38,32
12292,"45204","001001030"," 192.1. 2","Л{НиМІ","УъУмОs","СеОЪУнМі","ОRГmМы","",24,11,13,11
12293,"45204","001001041"," 193.1. 1","Л{НиМІ","УъУмОs","СеОЪУнМі","ОRГmМы","",82,37,45,32
12294,"45204","001001042"," 194.4.  ","Л{НиМІ","УъУмОs","СеОЪУнМі","ОRГmМы","",21,8,13,1
12295,"45204","001001051"," 193.1. 2","Л{НиМІ","УъУмОs","СеОЪУнМі","ОRГmМы","",68,27,41,30
12296,"45204","001001052"," 208.4.  ","Л{НиМІ","УъУмОs","СеОЪУнМі","ОRГmМы","",80,18,62,4
12297,"45204","001002010"," 195.1.  ","Л{НиМІ","УъУмОs","СеОЪУнМі","УнМі","",57,25,32,27
12298,"45204","001002020"," 196.1.  ","Л{НиМІ","УъУмОs","СеОЪУнМі","УнМі","",31,11,20,18
12299,"45204","001002030"," 197.1. 1","Л{НиМІ","УъУмОs","СеОЪУнМі","УнМі","",30,14,16,17
12300,"45204","001002040"," 197.1. 2","Л{НиМІ","УъУмОs","СеОЪУнМі","УнМі","",28,11,17,15
